date,equity
2020-07-27,100000.0
2020-07-28,100000.0
2020-07-29,100000.0
2020-07-30,100000.0
2020-07-31,100000.0
2020-08-03,100000.0
2020-08-04,100000.0
2020-08-05,100000.0
2020-08-06,100000.0
2020-08-07,100000.0
2020-08-10,100000.0
2020-08-11,100000.0
2020-08-12,100000.0
2020-08-13,100000.0
2020-08-14,100000.0
2020-08-17,100000.0
2020-08-18,100000.0
2020-08-19,100000.0
2020-08-20,100000.0
2020-08-21,100000.0
2020-08-24,100000.0
2020-08-25,100000.0
2020-08-26,100000.0
2020-08-27,100000.0
2020-08-28,100000.0
2020-08-31,100000.0
2020-09-01,100000.0
2020-09-02,100000.0
2020-09-03,100000.0
2020-09-04,100000.0
2020-09-08,100000.0
2020-09-09,100000.0
2020-09-10,100000.0
2020-09-11,100000.0
2020-09-14,100000.0
2020-09-15,100000.0
2020-09-16,100000.0
2020-09-17,100000.0
2020-09-18,100000.0
2020-09-21,100000.0
2020-09-22,100000.0
2020-09-23,100000.0
2020-09-24,100000.0
2020-09-25,100000.0
2020-09-28,100000.0
2020-09-29,100000.0
2020-09-30,100000.0
2020-10-01,100000.0
2020-10-02,100000.0
2020-10-05,100000.0
2020-10-06,100000.0
2020-10-07,100000.0
2020-10-08,100000.0
2020-10-09,100000.0
2020-10-12,100000.0
2020-10-13,100000.0
2020-10-14,100000.0
2020-10-15,100000.0
2020-10-16,100000.0
2020-10-19,100000.0
2020-10-20,100000.0
2020-10-21,100000.0
2020-10-22,100000.0
2020-10-23,100000.0
2020-10-26,100000.0
2020-10-27,100000.0
2020-10-28,100000.0
2020-10-29,100000.0
2020-10-30,100000.0
2020-11-02,100000.0
2020-11-03,100000.0
2020-11-04,100000.0
2020-11-05,100000.0
2020-11-06,100000.0
2020-11-09,100000.0
2020-11-10,100000.0
2020-11-11,100000.0
2020-11-12,100000.0
2020-11-13,100000.0
2020-11-16,100085.98
2020-11-17,100028.86
2020-11-18,99795.09
2020-11-19,99922.91
2020-11-20,99783.28
2020-11-23,99997.22
2020-11-24,100235.2
2020-11-25,100542.71
2020-11-27,100615.43
2020-11-30,100613.27
2020-12-01,100734.03
2020-12-02,100760.6
2020-12-03,100978.57
2020-12-04,101101.05
2020-12-07,101119.4
2020-12-08,101159.16
2020-12-09,101088.09
2020-12-10,101093.47
2020-12-11,101095.64
2020-12-14,101096.51
2020-12-15,101227.69
2020-12-16,101459.8
2020-12-17,101530.65
2020-12-18,101455.41
2020-12-21,101458.06
2020-12-22,101447.1
2020-12-23,101480.39
2020-12-24,101537.68
2020-12-28,101644.95
2020-12-29,101798.34
2020-12-30,101836.46
2020-12-31,101913.88
2021-01-04,101802.18
2021-01-05,101916.39
2021-01-06,101991.47
2021-01-07,102249.98
2021-01-08,102327.02
2021-01-11,102299.79
2021-01-12,102310.66
2021-01-13,102350.77
2021-01-14,102331.56
2021-01-15,102257.79
2021-01-19,102398.5
2021-01-20,102477.8
2021-01-21,102743.56
2021-01-22,102711.27
2021-01-25,102804.73
2021-01-26,102798.98
2021-01-27,102372.04
2021-01-28,102584.94
2021-01-29,102053.75
2021-02-01,102604.46
2021-02-02,102836.13
2021-02-03,102864.33
2021-02-04,103152.18
2021-02-05,103210.05
2021-02-08,103306.44
2021-02-09,103312.02
2021-02-10,103318.71
2021-02-11,103337.33
2021-02-12,103445.12
2021-02-16,103491.89
2021-02-17,103508.92
2021-02-18,103475.43
2021-02-19,103469.0
2021-02-22,103417.46
2021-02-23,103446.39
2021-02-24,103589.17
2021-02-25,103243.08
2021-02-26,103133.21
2021-03-01,103614.27
2021-03-02,103560.85
2021-03-03,103375.24
2021-03-04,103051.03
2021-03-05,103539.15
2021-03-08,103556.01
2021-03-09,103688.56
2021-03-10,103794.38
2021-03-11,103903.9
2021-03-12,103921.56
2021-03-15,103978.75
2021-03-16,104180.35
2021-03-17,104229.27
2021-03-18,104048.33
2021-03-19,103971.62
2021-03-22,104163.05
2021-03-23,104061.25
2021-03-24,103976.1
2021-03-25,104104.85
2021-03-26,104310.91
2021-03-29,104621.93
2021-03-30,104608.64
2021-03-31,104660.01
2021-04-01,104765.49
2021-04-05,105108.45
2021-04-06,105115.89
2021-04-07,105145.14
2021-04-08,105205.52
2021-04-09,105267.46
2021-04-12,105528.92
2021-04-13,105575.78
2021-04-14,105548.35
2021-04-15,105663.66
2021-04-16,105697.71
2021-04-19,105984.94
2021-04-20,105887.25
2021-04-21,106036.84
2021-04-22,105929.86
2021-04-23,106081.62
2021-04-26,106136.06
2021-04-27,106433.61
2021-04-28,106447.8
2021-04-29,106525.0
2021-04-30,106475.16
2021-05-03,106534.61
2021-05-04,106487.62
2021-05-05,106506.79
2021-05-06,106584.9
2021-05-07,106765.96
2021-05-10,106666.63
2021-05-11,106502.74
2021-05-12,105827.69
2021-05-13,106292.44
2021-05-14,106679.63
2021-05-17,106705.08
2021-05-18,106553.27
2021-05-19,106516.67
2021-05-20,106760.83
2021-05-21,106779.52
2021-05-24,106955.21
2021-05-25,107175.49
2021-05-26,107210.31
2021-05-27,107231.08
2021-05-28,107261.19
2021-06-01,107300.78
2021-06-02,107324.13
2021-06-03,107437.02
2021-06-04,107557.29
2021-06-07,107584.2
2021-06-08,107596.58
2021-06-09,107594.41
2021-06-10,107640.77
2021-06-11,107850.87
2021-06-14,107919.65
2021-06-15,107913.43
2021-06-16,107855.76
2021-06-17,107872.21
2021-06-18,107574.84
2021-06-21,107903.34
2021-06-22,107980.1
2021-06-23,107986.72
2021-06-24,108043.87
2021-06-25,108235.79
2021-06-28,108302.84
2021-06-29,108321.87
2021-06-30,108343.5
2021-07-01,108400.11
2021-07-02,108450.49
2021-07-06,108652.68
2021-07-07,108711.08
2021-07-08,108622.69
2021-07-09,108761.45
2021-07-12,108820.75
2021-07-13,108980.78
2021-07-14,109015.36
2021-07-15,108983.52
2021-07-16,108878.66
2021-07-19,108580.85
2021-07-20,108947.18
2021-07-21,109073.74
2021-07-22,109112.65
2021-07-23,109191.53
2021-07-26,109447.26
2021-07-27,109397.33
2021-07-28,109409.7
2021-07-29,109484.96
2021-07-30,109433.84
2021-08-02,109460.0
2021-08-03,109575.0
2021-08-04,109537.92
2021-08-05,109611.67
2021-08-06,109885.05
2021-08-09,109921.25
2021-08-10,109949.96
2021-08-11,109991.63
2021-08-12,110032.62
2021-08-13,110059.21
2021-08-16,110396.72
2021-08-17,110308.14
2021-08-18,110103.96
2021-08-19,110164.34
2021-08-20,110342.13
2021-08-23,110515.2
