open_date,close_date,exp_date,short_symbol,long_symbol,spot_entry,spot_exit,contracts,net_credit_per_contract,max_risk_per_contract,realized_pnl,close_reason,dte_at_close
2020-12-16,2020-12-29,2021-01-14,SPY210114P00351000,SPY210114P00325000,369.84,373.77,3,0.7,25.3,183.66,take_profit,16
2020-12-30,2021-01-08,2021-01-28,SPY210128P00353000,SPY210128P00327000,372.34,380.58,3,0.67,25.33,180.49,take_profit,20
2021-01-11,2021-01-21,2021-02-08,SPY210208P00362000,SPY210208P00335000,377.87,384.48,3,1.07,25.93,273.89,take_profit,18
2021-01-22,2021-02-05,2021-02-22,SPY210222P00365000,SPY210222P00338000,382.25,388.2,3,1.08,25.92,286.88,take_profit,17
2021-02-08,2021-02-18,2021-03-08,SPY210308P00368000,SPY210308P00341000,389.37,389.56,3,0.56,26.44,105.16,take_profit,18
2021-02-19,2021-03-11,2021-03-22,SPY210322P00371000,SPY210322P00344000,392.15,392.31,3,0.71,26.29,197.89,take_profit,11
2021-03-12,2021-03-29,2021-04-12,SPY210412P00374000,SPY210412P00346000,392.07,394.44,3,1.06,26.94,273.6,take_profit,14
2021-03-30,2021-04-06,2021-04-28,SPY210428P00376000,SPY210428P00348000,394.42,405.76,3,0.93,27.07,251.99,take_profit,22
2021-04-07,2021-04-14,2021-05-06,SPY210506P00386000,SPY210506P00357000,405.94,412.83,3,0.85,28.15,200.52,take_profit,22
2021-04-15,2021-04-27,2021-05-14,SPY210514P00391000,SPY210514P00362000,413.73,417.91,3,0.63,28.37,163.2,take_profit,17
2021-04-28,2021-05-10,2021-05-27,SPY210527P00396000,SPY210527P00367000,417.81,422.63,3,0.74,28.26,191.89,take_profit,17
2021-05-11,2021-05-25,2021-06-09,SPY210609P00397000,SPY210609P00368000,413.1,420.34,3,1.42,27.58,386.14,take_profit,15
2021-05-26,2021-06-08,2021-06-24,SPY210624P00397000,SPY210624P00368000,418.94,423.18,3,0.73,28.27,192.96,take_profit,16
2021-06-09,2021-06-25,2021-07-08,SPY210708P00401000,SPY210708P00372000,423.18,425.9,3,0.74,28.26,202.6,take_profit,13
2021-06-28,2021-07-07,2021-07-26,SPY210726P00405000,SPY210726P00375000,427.17,433.67,3,0.72,29.28,183.33,take_profit,19
2021-07-08,2021-07-22,2021-08-06,SPY210806P00413000,SPY210806P00382000,428.73,434.75,3,1.64,29.36,425.15,take_profit,15
2021-07-23,2021-08-04,2021-08-23,SPY210823P00414000,SPY210823P00383000,437.58,439.76,3,0.8,30.2,176.96,take_profit,19
2021-08-05,2021-08-16,2021-09-03,SPY210903P00417000,SPY210903P00386000,440.27,444.54,3,0.75,30.25,184.64,take_profit,18
2021-08-17,2021-08-30,2021-09-15,SPY210915P00425000,SPY210915P00393000,444.29,450.99,3,1.24,30.76,327.96,take_profit,16
2021-08-31,2021-09-24,2021-09-29,SPY210929P00430000,SPY210929P00398000,452.13,441.35,3,0.95,31.05,217.99,take_profit,5
2021-09-27,2021-10-15,2021-10-25,SPY211025P00422000,SPY211025P00391000,442.63,444.93,3,0.99,30.01,279.77,take_profit,10
2021-10-18,2021-10-22,2021-11-15,SPY211115P00424000,SPY211115P00392000,443.98,453.11,3,1.08,30.92,246.73,take_profit,24
2021-10-25,2021-11-02,2021-11-22,SPY211122P00430000,SPY211122P00399000,454.25,460.27,3,0.71,30.29,169.44,take_profit,20
2021-11-03,2021-11-15,2021-12-02,SPY211202P00439000,SPY211202P00406000,461.32,468.69,3,1.0,32.0,267.6,take_profit,17
2021-11-16,2021-12-08,2021-12-15,SPY211215P00444000,SPY211215P00411000,467.3,468.67,3,0.94,32.06,277.06,take_profit,7
2021-12-09,2021-12-27,2022-01-07,SPY220107P00446000,SPY220107P00413000,468.13,472.08,3,1.07,31.93,304.71,take_profit,11
2021-12-28,2022-01-20,2022-01-26,SPY220126P00453000,SPY220126P00420000,477.72,453.67,3,0.87,32.13,-667.06,breach,6
2022-02-03,2022-02-23,2022-03-04,SPY220304P00434000,SPY220304P00402000,450.98,432.59,3,1.65,30.35,-914.45,breach,9
2022-03-29,2022-04-22,2022-04-27,SPY220427P00433000,SPY220427P00401000,460.04,436.85,3,0.56,31.44,-270.19,time_stop,5
2022-08-01,2022-08-11,2022-08-29,SPY220829P00392000,SPY220829P00363000,409.18,423.01,4,1.16,27.84,445.46,take_profit,18
2022-08-12,2022-08-31,2022-09-12,SPY220912P00399000,SPY220912P00370000,422.04,399.92,3,0.74,28.26,-904.35,breach,12
2022-09-12,2022-09-19,2022-10-10,SPY221010P00386000,SPY221010P00358000,408.77,382.27,4,0.56,27.44,-2626.43,breach,21
2022-11-11,2022-11-23,2022-12-12,SPY221212P00375000,SPY221212P00347000,395.65,399.56,4,0.79,27.21,254.9,take_profit,19
2022-11-25,2022-12-13,2022-12-23,SPY221223P00382000,SPY221223P00354000,401.85,410.3,4,0.78,27.22,308.77,take_profit,10
2022-12-14,2022-12-20,2023-01-12,SPY230112P00382000,SPY230112P00354000,401.63,379.18,4,0.85,27.15,-2366.43,breach,23
2023-01-09,2023-01-17,2023-02-06,SPY230206P00369000,SPY230206P00341000,390.38,398.52,3,0.56,27.44,150.74,take_profit,20
2023-01-18,2023-01-27,2023-02-16,SPY230216P00378000,SPY230216P00350000,399.14,403.73,4,0.68,27.32,212.69,take_profit,20
2023-01-30,2023-02-03,2023-02-27,SPY230227P00385000,SPY230227P00357000,402.75,411.55,4,1.03,26.97,318.75,take_profit,24
2023-02-06,2023-03-01,2023-03-06,SPY230306P00392000,SPY230306P00363000,409.82,395.38,3,1.08,27.92,-84.14,time_stop,5
2023-03-02,2023-03-06,2023-03-31,SPY230331P00375000,SPY230331P00347000,392.69,405.13,4,1.01,26.99,352.66,take_profit,25
2023-03-07,2023-03-30,2023-04-05,SPY230405P00384000,SPY230405P00356000,404.42,404.06,4,0.78,27.22,309.92,take_profit,6
2023-03-31,2023-04-11,2023-05-01,SPY230501P00383000,SPY230501P00355000,404.68,410.12,4,0.75,27.25,250.69,take_profit,20
2023-04-12,2023-04-28,2023-05-11,SPY230511P00389000,SPY230511P00361000,411.92,411.48,4,0.6,27.4,204.36,take_profit,13
2023-05-01,2023-05-18,2023-05-30,SPY230530P00395000,SPY230530P00366000,415.48,414.96,4,0.86,28.14,286.3,take_profit,12
2023-05-19,2023-06-05,2023-06-20,SPY230620P00398000,SPY230620P00369000,420.2,428.22,4,0.85,28.15,329.12,take_profit,15
2023-06-06,2023-06-13,2023-07-05,SPY230705P00406000,SPY230705P00376000,426.67,435.41,3,0.92,29.08,229.85,take_profit,22
2023-06-14,2023-06-30,2023-07-13,SPY230713P00415000,SPY230713P00384000,437.1,441.44,3,0.84,30.16,236.15,take_profit,13
2023-07-03,2023-07-14,2023-07-31,SPY230731P00421000,SPY230731P00390000,442.94,450.6,3,0.85,30.15,230.31,take_profit,17
2023-07-17,2023-07-26,2023-08-14,SPY230814P00427000,SPY230814P00395000,449.13,454.5,3,0.88,31.12,207.3,take_profit,19
2023-07-27,2023-08-21,2023-08-25,SPY230825P00433000,SPY230825P00401000,459.08,437.51,3,0.63,31.37,-117.49,time_stop,4
2023-08-22,2023-08-30,2023-09-20,SPY230920P00417000,SPY230920P00387000,441.12,449.51,3,0.68,29.32,176.45,take_profit,21
2023-08-31,2023-09-25,2023-09-29,SPY230929P00428000,SPY230929P00397000,451.65,429.13,3,0.79,30.21,-399.59,time_stop,4
2023-11-13,2023-11-16,2023-12-11,SPY231211P00419000,SPY231211P00388000,439.21,449.23,3,1.02,29.98,235.03,take_profit,25
2023-11-17,2023-11-29,2023-12-18,SPY231218P00428000,SPY231218P00396000,450.23,457.13,3,1.03,30.97,267.09,take_profit,19
2023-11-30,2023-12-12,2023-12-29,SPY231229P00432000,SPY231229P00400000,455.45,461.57,3,0.84,31.16,221.6,take_profit,17
2023-12-13,2023-12-20,2024-01-11,SPY240111P00441000,SPY240111P00408000,464.45,473.89,3,0.9,32.1,226.64,take_profit,22
2023-12-21,2024-01-03,2024-01-19,SPY240119P00445000,SPY240119P00412000,471.32,470.46,3,0.68,32.32,144.33,take_profit,16
2024-01-04,2024-01-11,2024-02-02,SPY240202P00445000,SPY240202P00413000,468.21,477.55,3,0.95,31.05,237.03,take_profit,22
2024-01-12,2024-01-23,2024-02-12,SPY240212P00453000,SPY240212P00419000,477.8,484.02,3,0.96,33.04,238.37,take_profit,20
2024-01-24,2024-02-05,2024-02-22,SPY240222P00461000,SPY240222P00427000,487.81,493.69,3,0.74,33.26,196.83,take_profit,17
2024-02-06,2024-02-16,2024-03-06,SPY240306P00468000,SPY240306P00433000,493.52,501.71,3,0.9,34.1,234.15,take_profit,19
2024-02-20,2024-02-27,2024-03-18,SPY240318P00475000,SPY240318P00440000,497.74,506.7,3,1.11,33.89,271.23,take_profit,20
2024-02-28,2024-03-08,2024-03-28,SPY240328P00482000,SPY240328P00446000,505.36,515.51,3,1.22,34.78,316.17,take_profit,20
2024-03-11,2024-03-21,2024-04-08,SPY240408P00486000,SPY240408P00450000,510.39,523.49,3,1.08,34.92,302.26,take_profit,18
2024-03-22,2024-04-10,2024-04-22,SPY240422P00496000,SPY240422P00459000,522.14,513.43,3,1.16,35.84,158.91,take_profit,12
2024-04-11,2024-05-06,2024-05-10,SPY240510P00488000,SPY240510P00452000,515.68,513.77,3,0.84,35.16,252.35,take_profit,4
2024-05-07,2024-05-16,2024-06-05,SPY240605P00491000,SPY240605P00455000,517.55,529.88,3,0.96,35.04,262.62,take_profit,20
2024-05-17,2024-06-04,2024-06-17,SPY240617P00502000,SPY240617P00465000,528.93,526.54,3,1.12,35.88,259.96,take_profit,13
2024-06-05,2024-06-13,2024-07-05,SPY240705P00502000,SPY240705P00465000,530.79,543.12,3,0.89,36.11,238.49,take_profit,22
2024-06-14,2024-06-27,2024-07-15,SPY240715P00515000,SPY240715P00477000,540.89,545.55,3,1.34,36.66,318.52,take_profit,18
2024-06-28,2024-07-09,2024-07-29,SPY240729P00519000,SPY240729P00481000,547.11,556.36,3,1.13,36.87,294.41,take_profit,20
2024-07-10,2024-08-01,2024-08-08,SPY240808P00528000,SPY240808P00489000,557.13,552.59,3,0.98,38.02,278.48,take_profit,7
2024-08-02,2024-08-15,2024-09-03,SPY240903P00516000,SPY240903P00478000,535.75,549.76,3,2.29,35.71,624.74,take_profit,19
2024-08-16,2024-08-26,2024-09-16,SPY240916P00525000,SPY240916P00487000,551.36,563.43,3,1.36,36.64,359.82,take_profit,21
2024-08-27,2024-09-13,2024-09-25,SPY240925P00533000,SPY240925P00493000,559.46,559.71,3,1.28,38.72,324.83,take_profit,12
2024-09-16,2024-09-24,2024-10-14,SPY241014P00534000,SPY241014P00494000,561.79,570.48,3,1.08,38.92,264.12,take_profit,20
2024-09-25,2024-10-09,2024-10-24,SPY241024P00543000,SPY241024P00503000,571.14,573.16,3,1.18,38.82,283.11,take_profit,15
2024-10-10,2024-10-21,2024-11-08,SPY241108P00548000,SPY241108P00508000,575.72,583.91,3,1.26,38.74,322.09,take_profit,18
2024-10-22,2024-11-07,2024-11-20,SPY241120P00555000,SPY241120P00514000,581.05,593.21,3,1.51,39.49,437.71,take_profit,13
2024-11-08,2024-11-26,2024-12-09,SPY241209P00566000,SPY241209P00524000,596.26,598.82,3,1.28,40.72,343.15,take_profit,13
2024-11-27,2024-12-09,2024-12-26,SPY241226P00571000,SPY241226P00529000,600.5,607.59,3,1.25,40.75,320.11,take_profit,17
2024-12-10,2025-01-03,2025-01-08,SPY250108P00574000,SPY250108P00532000,605.36,587.54,3,1.09,40.91,201.53,time_stop,5
2025-01-06,2025-01-21,2025-02-03,SPY250203P00562000,SPY250203P00521000,595.96,600.79,3,0.76,40.24,212.82,take_profit,13
2025-01-22,2025-02-07,2025-02-20,SPY250220P00573000,SPY250220P00531000,605.93,606.84,3,0.95,41.05,249.75,take_profit,13
2025-02-10,2025-02-19,2025-03-10,SPY250310P00571000,SPY250310P00529000,604.02,610.05,3,0.87,41.13,206.69,take_profit,19
2025-02-20,2025-03-05,2025-03-21,SPY250321P00582000,SPY250321P00539000,611.54,576.65,3,1.33,41.67,-2549.4,breach,16
2025-05-13,2025-05-20,2025-06-11,SPY250611P00554000,SPY250611P00513000,583.46,593.11,3,1.13,39.87,267.99,take_profit,22
2025-05-21,2025-06-04,2025-06-20,SPY250620P00563000,SPY250620P00522000,588.58,596.99,3,1.71,39.29,453.59,take_profit,16
2025-06-05,2025-06-24,2025-07-07,SPY250707P00566000,SPY250707P00524000,597.66,604.33,3,1.21,40.79,345.82,take_profit,13
2025-06-25,2025-07-02,2025-07-24,SPY250724P00576000,SPY250724P00534000,607.91,617.29,3,1.06,40.94,248.58,take_profit,22
2025-07-03,2025-07-17,2025-08-01,SPY250801P00589000,SPY250801P00546000,622.47,624.32,3,1.01,41.99,249.44,take_profit,15
2025-07-18,2025-07-29,2025-08-18,SPY250818P00597000,SPY250818P00553000,629.25,638.35,3,1.31,42.69,330.02,take_profit,20
2025-07-30,2025-08-13,2025-08-28,SPY250828P00603000,SPY250828P00559000,636.0,644.87,3,1.14,42.86,318.41,take_profit,15
2025-08-14,2025-08-28,2025-09-12,SPY250912P00613000,SPY250912P00568000,642.8,647.16,3,1.54,43.46,383.8,take_profit,15
2025-08-29,2025-09-11,2025-09-29,SPY250929P00616000,SPY250929P00571000,647.46,654.25,3,1.54,43.46,382.03,take_profit,18
2025-09-12,2025-09-23,2025-10-13,SPY251013P00625000,SPY251013P00579000,657.59,666.73,3,1.49,44.51,368.74,take_profit,20
2025-09-24,2025-10-07,2025-10-23,SPY251023P00630000,SPY251023P00584000,664.48,672.55,3,1.19,44.81,320.44,take_profit,16
2025-10-08,2025-10-24,2025-11-06,SPY251106P00636000,SPY251106P00589000,670.28,676.42,3,1.25,45.75,349.67,take_profit,13
2025-10-27,2025-11-11,2025-11-24,SPY251124P00643000,SPY251124P00596000,682.72,679.95,3,0.81,46.19,195.03,take_profit,13
2025-11-12,2025-12-01,2025-12-11,SPY251211P00649000,SPY251211P00601000,684.84,678.83,3,1.2,46.8,296.45,take_profit,10
2025-12-02,2025-12-12,2025-12-31,SPY251231P00646000,SPY251231P00599000,681.82,688.18,3,1.18,45.82,276.79,take_profit,19
2025-12-15,2025-12-29,2026-01-12,SPY260112P00648000,SPY260112P00600000,685.75,687.57,3,0.97,47.03,247.82,take_profit,14
2025-12-30,2026-01-12,2026-01-28,SPY260128P00654000,SPY260128P00605000,687.43,690.68,3,1.47,47.53,343.75,take_profit,16
2026-01-13,2026-01-28,2026-02-11,SPY260211P00660000,SPY260211P00612000,695.44,697.02,3,1.31,46.69,326.23,take_profit,14
2026-01-29,2026-02-23,2026-02-27,SPY260227P00661000,SPY260227P00612000,696.35,687.8,3,1.33,47.67,393.71,take_profit,4
2026-02-24,2026-03-20,2026-03-25,SPY260325P00648000,SPY260325P00601000,681.52,656.5,3,1.41,45.59,-20.84,time_stop,5
2026-04-10,2026-04-16,2026-05-11,SPY260511P00646000,SPY260511P00598000,681.3,701.08,3,1.38,46.62,366.91,take_profit,25
2026-04-17,2026-04-28,2026-05-18,SPY260518P00666000,SPY260518P00617000,706.26,711.75,3,1.09,47.91,253.35,take_profit,20
2026-04-29,2026-05-06,2026-05-28,SPY260528P00676000,SPY260528P00626000,710.98,728.05,3,1.47,48.53,385.74,take_profit,22
2026-05-07,2026-05-15,2026-06-05,SPY260605P00697000,SPY260605P00646000,735.07,741.88,3,1.33,49.67,280.67,take_profit,21
2026-05-18,2026-05-27,2026-06-15,SPY260615P00702000,SPY260615P00650000,739.83,750.88,2,1.3,50.7,218.99,take_profit,19
2026-05-28,2026-06-16,2026-06-26,SPY260626P00713000,SPY260626P00661000,750.23,754.55,3,1.52,50.48,436.69,take_profit,10
2026-06-17,2026-07-07,2026-07-16,SPY260716P00713000,SPY260716P00661000,751.27,750.21,3,1.42,50.58,399.9,take_profit,9
2026-07-08,2026-07-16,2026-08-06,SPY260806P00710000,SPY260806P00658000,743.13,752.8,3,1.95,50.05,428.16,take_profit,21
2026-07-17,2026-08-04,2026-08-17,SPY260817P00713000,SPY260817P00661000,742.17,760.63,3,2.74,49.26,799.69,take_profit,13
