open_date,close_date,exp_date,short_symbol,long_symbol,spot_entry,spot_exit,contracts,net_credit_per_contract,max_risk_per_contract,realized_pnl,close_reason,dte_at_close
2020-11-17,2020-11-25,2020-12-16,SPY201216P00344000,SPY201216P00319000,359.99,363.13,4,0.95,24.05,246.17,take_profit,21
2020-11-27,2020-12-03,2020-12-28,SPY201228P00344000,SPY201228P00319000,363.96,366.69,4,0.63,24.37,142.85,take_profit,25
2020-12-04,2020-12-16,2021-01-04,SPY210104P00348000,SPY210104P00323000,367.31,369.84,4,0.72,24.28,218.82,take_profit,19
2020-12-17,2020-12-29,2021-01-15,SPY210115P00352000,SPY210115P00326000,371.95,373.77,3,0.61,25.39,142.62,take_profit,17
2020-12-30,2021-01-07,2021-01-28,SPY210128P00353000,SPY210128P00327000,372.34,376.13,4,0.67,25.33,193.05,take_profit,21
2021-01-08,2021-01-21,2021-02-08,SPY210208P00360000,SPY210208P00333000,380.58,384.48,3,0.69,26.31,175.48,take_profit,18
2021-01-22,2021-02-04,2021-02-22,SPY210222P00365000,SPY210222P00338000,382.25,383.02,3,1.08,25.92,209.57,take_profit,18
2021-02-05,2021-02-12,2021-03-08,SPY210308P00367000,SPY210308P00340000,388.2,389.85,3,0.68,26.32,105.94,take_profit,24
2021-02-16,2021-03-10,2021-03-15,SPY210315P00373000,SPY210315P00345000,393.95,389.72,3,0.58,27.42,169.93,take_profit,5
2021-03-11,2021-03-16,2021-04-09,SPY210409P00370000,SPY210409P00343000,392.31,397.15,3,0.54,26.46,110.1,take_profit,24
2021-03-17,2021-03-29,2021-04-15,SPY210415P00376000,SPY210415P00348000,394.53,394.44,3,0.92,27.08,169.38,take_profit,17
2021-03-30,2021-04-05,2021-04-28,SPY210428P00376000,SPY210428P00348000,394.42,403.55,3,0.93,27.07,233.02,take_profit,23
2021-04-06,2021-04-12,2021-05-05,SPY210505P00386000,SPY210505P00358000,405.76,410.88,3,0.86,27.14,176.88,take_profit,23
2021-04-13,2021-04-19,2021-05-12,SPY210512P00391000,SPY210512P00362000,411.52,416.24,3,0.82,28.18,164.7,take_profit,23
2021-04-20,2021-04-27,2021-05-19,SPY210519P00395000,SPY210519P00365000,413.91,417.91,3,1.03,28.97,197.24,take_profit,22
2021-04-28,2021-05-07,2021-05-27,SPY210527P00396000,SPY210527P00367000,417.81,419.92,3,0.74,28.26,144.89,take_profit,20
2021-05-10,2021-05-25,2021-06-07,SPY210607P00401000,SPY210607P00371000,422.63,420.34,3,0.74,29.26,158.15,take_profit,13
2021-05-26,2021-06-03,2021-06-24,SPY210624P00397000,SPY210624P00368000,418.94,418.05,3,0.73,28.27,84.15,take_profit,21
2021-06-04,2021-06-11,2021-07-06,SPY210706P00398000,SPY210706P00369000,420.77,424.2,3,0.8,28.2,144.62,take_profit,25
2021-06-14,2021-06-25,2021-07-12,SPY210712P00403000,SPY210712P00373000,424.43,425.9,3,0.77,29.23,166.01,take_profit,17
2021-06-28,2021-07-06,2021-07-26,SPY210726P00405000,SPY210726P00375000,427.17,433.86,3,0.72,29.28,178.9,take_profit,20
2021-07-07,2021-07-13,2021-08-05,SPY210805P00411000,SPY210805P00381000,433.67,436.22,3,0.76,29.24,124.11,take_profit,23
2021-07-14,2021-07-26,2021-08-12,SPY210812P00414000,SPY210812P00383000,437.4,439.3,3,0.72,30.28,166.65,take_profit,17
2021-07-27,2021-08-06,2021-08-25,SPY210825P00419000,SPY210825P00388000,439.8,442.11,3,1.01,29.99,200.77,take_profit,19
2021-08-09,2021-08-16,2021-09-07,SPY210907P00420000,SPY210907P00389000,442.46,444.54,3,0.85,30.15,138.13,take_profit,22
2021-08-17,2021-08-24,2021-09-15,SPY210915P00425000,SPY210915P00393000,444.29,448.0,3,1.24,30.76,220.28,take_profit,22
2021-08-25,2021-08-31,2021-09-23,SPY210923P00426000,SPY210923P00394000,448.17,452.13,3,0.92,31.08,166.05,take_profit,23
2021-09-01,2021-09-24,2021-09-30,SPY210930P00429000,SPY210930P00397000,452.61,441.35,3,0.8,31.2,166.3,take_profit,6
2021-09-27,2021-10-15,2021-10-25,SPY211025P00422000,SPY211025P00391000,442.63,444.93,3,0.99,30.01,279.77,take_profit,10
2021-10-18,2021-10-20,2021-11-15,SPY211115P00424000,SPY211115P00392000,443.98,451.09,3,1.08,30.92,200.37,take_profit,26
2021-10-21,2021-10-26,2021-11-19,SPY211119P00430000,SPY211119P00398000,451.72,457.2,3,0.99,31.01,189.21,take_profit,24
2021-10-27,2021-11-02,2021-11-26,SPY211126P00433000,SPY211126P00401000,456.44,460.27,3,0.9,31.1,157.6,take_profit,24
2021-11-03,2021-11-08,2021-12-02,SPY211202P00439000,SPY211202P00406000,461.32,469.75,3,1.0,32.0,225.49,take_profit,24
2021-11-09,2021-11-19,2021-12-08,SPY211208P00446000,SPY211208P00413000,469.54,469.59,3,0.93,32.07,153.62,take_profit,19
2021-11-22,2021-12-08,2021-12-20,SPY211220P00446000,SPY211220P00413000,470.88,468.67,3,0.76,32.24,179.88,take_profit,12
2021-12-09,2021-12-23,2022-01-07,SPY220107P00446000,SPY220107P00413000,468.13,468.75,3,1.07,31.93,239.48,take_profit,15
2021-12-27,2021-12-30,2022-01-24,SPY220124P00447000,SPY220124P00414000,472.08,478.05,3,0.74,32.26,136.55,take_profit,25
2021-12-31,2022-01-20,2022-01-31,SPY220131P00452000,SPY220131P00419000,475.65,453.67,3,1.07,31.93,-814.64,breach,11
2022-03-28,2022-03-30,2022-04-25,SPY220425P00430000,SPY220425P00398000,452.09,460.37,3,0.9,31.1,183.65,take_profit,26
2022-03-31,2022-04-25,2022-04-29,SPY220429P00436000,SPY220429P00404000,458.0,423.66,3,1.01,30.99,-3424.69,breach,4
2022-07-29,2022-08-04,2022-08-29,SPY220829P00386000,SPY220829P00357000,407.62,414.39,4,0.78,28.22,232.03,take_profit,25
2022-08-05,2022-08-11,2022-09-06,SPY220906P00393000,SPY220906P00364000,409.7,423.01,4,1.48,27.52,515.2,take_profit,26
2022-08-12,2022-08-16,2022-09-12,SPY220912P00399000,SPY220912P00370000,422.04,427.73,4,0.74,28.26,187.4,take_profit,27
2022-08-17,2022-08-29,2022-09-15,SPY220915P00408000,SPY220915P00378000,425.96,402.22,3,1.26,28.74,-2093.79,breach,17
2022-08-30,2022-09-12,2022-09-28,SPY220928P00382000,SPY220928P00354000,403.97,408.77,4,0.63,27.37,228.94,take_profit,16
2022-09-13,2022-09-13,2022-10-12,SPY221012P00390000,SPY221012P00362000,401.8,401.8,4,2.12,25.88,-17.59,take_profit,29
2022-11-11,2022-11-23,2022-12-12,SPY221212P00375000,SPY221212P00347000,395.65,399.56,4,0.79,27.21,254.9,take_profit,19
2022-11-25,2022-12-01,2022-12-23,SPY221223P00382000,SPY221223P00354000,401.85,408.79,4,0.78,27.22,243.41,take_profit,22
2022-12-02,2022-12-19,2023-01-03,SPY230103P00387000,SPY230103P00359000,402.3,383.54,4,1.63,26.37,-1887.55,breach,15
2022-12-22,2023-01-05,2023-01-20,SPY230120P00367000,SPY230120P00340000,383.01,381.56,4,1.15,25.85,258.59,take_profit,15
2023-01-09,2023-01-12,2023-02-06,SPY230206P00369000,SPY230206P00341000,390.38,396.74,4,0.56,27.44,157.04,take_profit,25
2023-01-13,2023-01-18,2023-02-13,SPY230213P00377000,SPY230213P00349000,393.65,399.14,4,1.27,26.73,313.04,take_profit,26
2023-01-19,2023-01-23,2023-02-17,SPY230217P00372000,SPY230217P00345000,389.16,396.82,4,1.05,25.95,304.95,take_profit,25
2023-01-24,2023-01-27,2023-02-22,SPY230222P00381000,SPY230222P00353000,398.88,403.73,4,1.03,26.97,226.52,take_profit,26
2023-01-30,2023-02-02,2023-02-27,SPY230227P00385000,SPY230227P00357000,402.75,414.85,4,1.03,26.97,349.92,take_profit,25
2023-02-03,2023-02-15,2023-03-06,SPY230306P00396000,SPY230306P00367000,411.55,410.44,4,1.63,27.37,259.5,take_profit,19
2023-02-16,2023-03-07,2023-03-17,SPY230317P00393000,SPY230317P00364000,408.82,404.42,4,1.42,27.58,337.8,take_profit,10
2023-03-08,2023-03-22,2023-04-06,SPY230406P00378000,SPY230406P00350000,398.41,398.74,4,0.74,27.26,227.75,take_profit,15
2023-03-30,2023-04-03,2023-04-28,SPY230428P00381000,SPY230428P00353000,404.06,408.87,4,0.55,27.45,139.28,take_profit,25
2023-04-04,2023-04-14,2023-05-03,SPY230503P00390000,SPY230503P00362000,411.61,412.85,4,0.72,27.28,186.21,take_profit,19
2023-04-17,2023-04-28,2023-05-15,SPY230515P00392000,SPY230515P00363000,412.38,411.48,4,0.8,28.2,177.54,take_profit,17
2023-05-01,2023-05-16,2023-05-30,SPY230530P00395000,SPY230530P00366000,415.48,411.85,4,0.86,28.14,188.53,take_profit,14
2023-05-17,2023-05-19,2023-06-15,SPY230615P00390000,SPY230615P00361000,412.34,420.2,4,0.66,28.34,184.18,take_profit,27
2023-05-22,2023-05-31,2023-06-20,SPY230620P00398000,SPY230620P00368000,418.8,418.26,4,0.85,29.15,152.44,take_profit,20
2023-06-01,2023-06-05,2023-06-30,SPY230630P00397000,SPY230630P00368000,418.2,428.22,4,0.8,28.2,261.28,take_profit,25
2023-06-06,2023-06-13,2023-07-05,SPY230705P00406000,SPY230705P00376000,426.67,435.41,4,0.92,29.08,306.47,take_profit,22
2023-06-14,2023-06-16,2023-07-13,SPY230713P00415000,SPY230713P00384000,437.1,443.11,4,0.84,30.16,194.36,take_profit,27
2023-06-20,2023-06-30,2023-07-17,SPY230717P00417000,SPY230717P00387000,437.43,441.44,4,0.92,29.08,287.19,take_profit,17
2023-07-03,2023-07-13,2023-07-31,SPY230731P00421000,SPY230731P00390000,442.94,447.89,4,0.85,30.15,275.55,take_profit,18
2023-07-14,2023-07-20,2023-08-14,SPY230814P00427000,SPY230814P00396000,450.6,454.16,4,0.89,30.11,199.75,take_profit,25
2023-07-21,2023-07-31,2023-08-21,SPY230821P00430000,SPY230821P00398000,453.93,457.41,4,0.88,31.12,250.18,take_profit,21
2023-08-01,2023-08-25,2023-08-30,SPY230830P00435000,SPY230830P00403000,456.32,438.6,4,1.07,30.93,-191.71,time_stop,5
2023-08-28,2023-08-30,2023-09-25,SPY230925P00418000,SPY230925P00387000,442.32,449.51,4,0.63,30.37,166.69,take_profit,26
2023-08-31,2023-09-15,2023-09-29,SPY230929P00428000,SPY230929P00397000,451.65,447.25,4,0.79,30.21,175.49,take_profit,14
2023-09-18,2023-10-10,2023-10-16,SPY231016P00421000,SPY231016P00390000,443.04,433.02,4,0.84,30.16,236.26,take_profit,6
2023-11-13,2023-11-15,2023-12-11,SPY231211P00419000,SPY231211P00388000,439.21,450.28,4,1.02,29.98,317.3,take_profit,26
2023-11-16,2023-11-21,2023-12-15,SPY231215P00427000,SPY231215P00396000,449.23,453.24,4,0.92,30.08,207.41,take_profit,24
2023-11-22,2023-12-01,2023-12-21,SPY231221P00431000,SPY231221P00399000,455.0,455.68,4,0.78,31.22,176.43,take_profit,20
2023-12-04,2023-12-11,2024-01-02,SPY240102P00436000,SPY240102P00404000,455.54,459.69,4,1.3,30.7,316.2,take_profit,22
2023-12-12,2023-12-14,2024-01-10,SPY240110P00439000,SPY240110P00407000,461.57,472.56,4,0.97,31.03,295.72,take_profit,27
2023-12-15,2023-12-20,2024-01-16,SPY240116P00448000,SPY240116P00415000,469.41,473.89,4,1.35,31.65,280.41,take_profit,27
2023-12-21,2023-12-27,2024-01-19,SPY240119P00445000,SPY240119P00412000,471.32,475.49,4,0.68,32.32,174.97,take_profit,23
2023-12-28,2024-01-11,2024-01-26,SPY240126P00453000,SPY240126P00419000,476.88,477.55,4,0.94,33.06,290.5,take_profit,15
2024-01-12,2024-01-22,2024-02-12,SPY240212P00453000,SPY240212P00419000,477.8,484.0,4,0.96,33.04,307.44,take_profit,21
2024-01-23,2024-01-30,2024-02-21,SPY240221P00459000,SPY240221P00425000,484.02,490.67,4,0.88,33.12,264.79,take_profit,22
2024-01-31,2024-02-05,2024-02-29,SPY240229P00466000,SPY240229P00432000,488.44,493.69,4,1.2,32.8,283.17,take_profit,24
2024-02-06,2024-02-12,2024-03-06,SPY240306P00468000,SPY240306P00433000,493.52,501.23,4,0.9,34.1,270.23,take_profit,23
2024-02-13,2024-02-16,2024-03-13,SPY240313P00476000,SPY240313P00441000,494.33,501.71,4,1.86,33.14,429.18,take_profit,26
2024-02-20,2024-02-23,2024-03-18,SPY240318P00475000,SPY240318P00440000,497.74,509.26,4,1.11,33.89,347.9,take_profit,24
2024-02-26,2024-03-04,2024-03-25,SPY240325P00482000,SPY240325P00447000,508.29,512.19,4,0.87,34.13,224.59,take_profit,21
2024-03-05,2024-03-13,2024-04-03,SPY240403P00487000,SPY240403P00451000,510.23,517.04,4,1.28,34.72,380.09,take_profit,21
2024-03-14,2024-03-21,2024-04-12,SPY240412P00490000,SPY240412P00454000,516.96,523.49,4,0.92,35.08,269.63,take_profit,22
2024-03-22,2024-04-02,2024-04-22,SPY240422P00496000,SPY240422P00459000,522.14,518.13,3,1.16,35.84,94.42,take_profit,20
2024-04-03,2024-04-29,2024-05-02,SPY240502P00493000,SPY240502P00457000,517.71,510.26,4,1.16,34.84,458.6,take_profit,3
2024-04-30,2024-05-07,2024-05-29,SPY240529P00485000,SPY240529P00449000,508.33,517.55,4,1.25,34.75,395.61,take_profit,22
2024-05-08,2024-05-14,2024-06-06,SPY240606P00491000,SPY240606P00455000,515.62,521.18,4,1.15,34.85,294.51,take_profit,23
2024-05-15,2024-05-21,2024-06-13,SPY240613P00497000,SPY240613P00460000,525.77,529.31,3,0.81,36.19,141.22,take_profit,23
2024-05-22,2024-06-05,2024-06-20,SPY240620P00505000,SPY240620P00468000,530.71,530.79,4,1.14,35.86,334.09,take_profit,15
2024-06-06,2024-06-13,2024-07-05,SPY240705P00508000,SPY240705P00470000,534.9,543.12,3,1.05,36.95,242.66,take_profit,22
2024-06-14,2024-06-18,2024-07-15,SPY240715P00515000,SPY240715P00477000,540.89,547.14,3,1.34,36.66,223.24,take_profit,27
2024-06-20,2024-07-03,2024-07-18,SPY240718P00521000,SPY240718P00483000,549.42,548.84,3,0.94,37.06,200.85,take_profit,15
2024-07-05,2024-07-10,2024-08-02,SPY240802P00524000,SPY240802P00485000,551.77,557.13,3,1.02,37.98,184.7,take_profit,23
2024-07-11,2024-08-01,2024-08-09,SPY240809P00533000,SPY240809P00494000,561.43,552.59,3,1.08,37.92,248.78,take_profit,8
2024-08-02,2024-08-14,2024-09-03,SPY240903P00516000,SPY240903P00478000,535.75,542.95,4,2.29,35.71,692.26,take_profit,20
2024-08-15,2024-08-20,2024-09-13,SPY240913P00517000,SPY240913P00479000,549.76,559.16,3,0.64,37.36,151.02,take_profit,24
2024-08-21,2024-09-03,2024-09-19,SPY240919P00531000,SPY240919P00492000,559.76,560.48,3,1.03,37.97,228.01,take_profit,16
2024-09-04,2024-09-12,2024-10-03,SPY241003P00525000,SPY241003P00486000,550.06,555.09,4,1.37,37.63,364.48,take_profit,21
2024-09-13,2024-09-20,2024-10-14,SPY241014P00531000,SPY241014P00492000,559.71,567.86,4,1.16,37.84,341.59,take_profit,24
2024-09-23,2024-10-01,2024-10-21,SPY241021P00540000,SPY241021P00500000,569.27,573.43,3,0.99,39.01,201.35,take_profit,20
2024-10-02,2024-10-09,2024-10-31,SPY241031P00540000,SPY241031P00500000,567.71,573.16,3,1.2,38.8,236.47,take_profit,22
2024-10-10,2024-10-15,2024-11-08,SPY241108P00548000,SPY241108P00508000,575.72,584.64,3,1.26,38.74,265.99,take_profit,24
2024-10-16,2024-10-22,2024-11-14,SPY241114P00551000,SPY241114P00510000,579.78,581.05,3,1.17,39.83,143.92,take_profit,23
2024-10-23,2024-11-07,2024-11-21,SPY241121P00554000,SPY241121P00513000,581.32,593.21,3,1.35,39.65,389.7,take_profit,14
2024-11-08,2024-11-22,2024-12-09,SPY241209P00566000,SPY241209P00524000,596.26,593.69,3,1.28,40.72,221.76,take_profit,17
2024-11-25,2024-12-03,2024-12-23,SPY241223P00566000,SPY241223P00524000,599.49,603.45,3,0.81,41.19,168.49,take_profit,20
2024-12-04,2024-12-12,2025-01-02,SPY250102P00574000,SPY250102P00531000,605.74,606.59,3,1.06,41.94,161.2,take_profit,21
2024-12-13,2025-01-07,2025-01-13,SPY250113P00574000,SPY250113P00532000,606.35,597.43,3,1.14,40.86,318.69,take_profit,6
2025-01-08,2025-01-16,2025-02-06,SPY250206P00559000,SPY250206P00518000,588.68,594.06,3,1.14,39.86,237.98,take_profit,21
2025-01-17,2025-01-22,2025-02-18,SPY250218P00562000,SPY250218P00521000,596.95,605.93,3,0.9,40.1,189.74,take_profit,27
2025-01-23,2025-02-06,2025-02-21,SPY250221P00576000,SPY250221P00534000,605.79,605.99,3,1.26,40.74,279.08,take_profit,15
2025-02-07,2025-02-18,2025-03-10,SPY250310P00576000,SPY250310P00533000,606.84,610.88,3,1.29,41.71,277.73,take_profit,20
2025-02-19,2025-03-05,2025-03-20,SPY250320P00581000,SPY250320P00538000,610.05,576.65,3,1.37,41.63,-2304.11,breach,15
2025-05-13,2025-05-16,2025-06-11,SPY250611P00554000,SPY250611P00513000,583.46,591.27,3,1.13,39.87,204.62,take_profit,26
2025-05-19,2025-05-28,2025-06-16,SPY250616P00565000,SPY250616P00523000,588.15,591.58,3,1.9,40.1,341.86,take_profit,19
2025-05-29,2025-06-04,2025-06-27,SPY250627P00558000,SPY250627P00517000,593.1,596.99,3,0.71,40.29,128.45,take_profit,23
2025-06-05,2025-06-11,2025-07-07,SPY250707P00566000,SPY250707P00524000,597.66,604.18,3,1.21,40.79,225.62,take_profit,26
2025-06-12,2025-06-24,2025-07-11,SPY250711P00572000,SPY250711P00529000,600.02,604.33,3,1.42,41.58,328.73,take_profit,17
2025-06-25,2025-06-30,2025-07-24,SPY250724P00576000,SPY250724P00534000,607.91,617.4,3,1.06,40.94,230.5,take_profit,24
2025-07-01,2025-07-07,2025-07-30,SPY250730P00587000,SPY250730P00544000,616.39,623.33,3,1.38,41.62,269.1,take_profit,23
2025-07-08,2025-07-15,2025-08-06,SPY250806P00590000,SPY250806P00546000,621.29,627.53,3,1.21,42.79,245.48,take_profit,22
2025-07-16,2025-07-22,2025-08-14,SPY250814P00591000,SPY250814P00548000,623.71,628.98,3,1.09,41.91,199.43,take_profit,23
2025-07-23,2025-07-29,2025-08-21,SPY250821P00597000,SPY250821P00553000,631.54,638.35,3,0.98,43.02,198.24,take_profit,23
2025-07-30,2025-08-11,2025-08-28,SPY250828P00603000,SPY250828P00559000,636.0,637.51,3,1.14,42.86,246.85,take_profit,17
2025-08-12,2025-08-15,2025-09-10,SPY250910P00604000,SPY250910P00560000,638.29,646.06,3,1.04,42.96,183.44,take_profit,26
2025-08-18,2025-08-27,2025-09-15,SPY250915P00611000,SPY250915P00566000,642.86,644.55,3,1.23,43.77,220.15,take_profit,19
2025-08-28,2025-09-05,2025-09-26,SPY250926P00614000,SPY250926P00569000,647.16,651.46,3,1.2,43.8,232.13,take_profit,21
2025-09-08,2025-09-12,2025-10-06,SPY251006P00615000,SPY251006P00570000,648.64,657.59,3,1.1,43.9,220.09,take_profit,24
2025-09-15,2025-09-23,2025-10-13,SPY251013P00625000,SPY251013P00579000,659.58,666.73,3,1.08,44.92,245.35,take_profit,20
2025-09-24,2025-10-02,2025-10-23,SPY251023P00630000,SPY251023P00584000,664.48,670.46,3,1.19,44.81,250.45,take_profit,21
2025-10-03,2025-10-21,2025-11-03,SPY251103P00636000,SPY251103P00589000,670.0,671.35,3,1.43,45.57,374.89,take_profit,13
2025-10-22,2025-10-28,2025-11-20,SPY251120P00638000,SPY251120P00591000,671.68,687.04,3,1.33,45.67,335.71,take_profit,23
2025-10-29,2025-11-13,2025-11-28,SPY251128P00653000,SPY251128P00605000,688.72,680.5,3,1.32,46.68,166.34,take_profit,15
2025-11-14,2025-11-25,2025-12-15,SPY251215P00638000,SPY251215P00591000,665.36,668.62,3,2.26,44.74,411.7,take_profit,20
2025-11-26,2025-12-03,2025-12-26,SPY251226P00641000,SPY251226P00594000,677.62,680.56,3,1.15,45.85,185.64,take_profit,23
2025-12-04,2025-12-12,2026-01-02,SPY260102P00650000,SPY260102P00602000,685.3,688.18,3,1.26,46.74,219.89,take_profit,21
2025-12-15,2025-12-24,2026-01-12,SPY260112P00648000,SPY260112P00600000,685.75,687.92,3,0.97,47.03,189.84,take_profit,19
